procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  1 838768 133392 119732 858444 17756 18396 17880 18456 79212 169555 48 47 5 0 0 0
11  1 837012 126260 119952 860480 1752    0  3160  4840 49942 181429 47 39 14 1 0 0
 5  0 836136 123052 120140 860848  816    0   828  2700 38790 197965 42 37 21 0 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 835788 121704 120304 860932  336    0   356     0 43622 202826 42 39 19 0 0 0
11  0 833272 119272 120552 861244 2512    0  2512     0 48953 174495 50 38 12 0 0 0
 9  0 829860 115808 120680 861368 3404    0  3412    32 62563 162443 57 39 4 0 0  0
11  0 828780 111324 120908 861484 1136    0  1252     0 50800 164917 53 39 8 0 0  0
10  0 828580 110260 121152 861828  200    0   200     0 54623 180186 50 38 12 0 0 0
 9  0 828568 114652 121376 862012    4    0    12     0 42470 197310 40 39 20 1 0 0
 6  0 828388 107996 121532 862252  180    0   180     0 52216 181157 49 40 11 0 0 0
 3  0 828328 105192 121772 862556   60    0    60    40 47513 193814 46 37 17 0 0 0
 3  0 827864 123640 121996 862824  460    0   460     0 39382 194685 43 37 20 0 0 0
 9  0 827448 117440 122168 862892  408    0   408     0 52015 188497 46 40 14 0 0 0
 9  0 826796 113596 122368 863068  660    0   660     0 41302 191727 43 39 19 0 0 0
 2  0 826532 111624 122516 863292  264    0   264     0 37984 203427 41 38 21 0 0 0
 4  0 826448 105764 122672 863392   28    0    28    24 40102 203210 42 38 20 0 0 0
 7  0 826376 104712 122852 863572   72    0    72     0 38708 194207 41 40 19 0 0 0
 2  0 845296 137288 121920 859920 1188 20096 2168 20096 52305 191251 37 44 19 0 0 0
 4  0 844000 134412 121976 860108 1296    0  1296     0 28704 220965 40 36 24 0 0 0
 2  0 843068 128816 122132 860220  932    0   932     0 35528 204334 39 38 22 1 0 0
 2  0 842288 128248 122260 860456  780    0   780    28 27059 229828 37 35 27 0 0 0
 7  0 841340 125520 122412 860508  948    0   964     0 43804 199540 45 37 17 0 0 0
 8  0 857408 157920 122536 851676 3392 19444 3392 25728 61991 178853 42 45 13 0 0 0
 5  0 855948 152856 122776 852104 1460    0  1460     0 37277 201346 39 39 22 0 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0 854136 147660 122944 852376 1812    0  1824     0 45981 196398 43 40 17 0 0 0
 9  0 851596 143916 123164 852764 2540    0  2540     0 41880 192477 44 39 17 0 0 0
 5  0 848952 142268 123376 853024 2644    0  2644    32 43895 199941 42 39 18 1 0 0
 9  0 847684 136192 123584 853060 1268    0  1268     0 41829 191871 44 39 17 0 0 0
 9  0 844948 131136 123740 853240 2736    0  2736     0 34036 201946 43 35 21 0 0 0
 8  0 842196 124508 123896 853612 2752    0  2760     0 31406 218518 39 36 26 0 0 0
 8  0 838472 119436 124008 853660 3724    0  3724     0 45322 186035 49 37 14 0 0 0
 6  0 834584 115004 124152 853856 3888    0  3888    24 64998 159528 61 35 4 0 0  0
11  0 834572 114300 124364 854084   12    0    12     0 35016 210441 39 38 23 0 0 0
 5  0 834468 109348 124740 854544  100    0   252   776 40031 199454 40 40 19 1 0 0
 8  1 834180 109928 124964 854816  288    0   360     0 44999 180811 45 38 16 1 0 0
14  0 833940 108844 125184 855428  240    0   644     0 58964 164273 54 38 7 1 0  0
 5  0 833928 108104 125284 855672   12    0    12     0 58771 164083 55 38 7 0 0  0
 9  0 833920 106064 125536 855876    8    0     8     0 41593 188291 41 39 20 0 0 0
10  0 833556 104764 125684 855996  364    0   364     0 34922 212090 42 35 23 0 0 0
 9  0 846220 151700 125568 849316  500 13156  500 13184 58545 191553 43 44 13 0 0 0
 3  0 849568 149004 125860 849508 1536 4860  1536  4860 42504 188183 43 39 18 0 0 0
 3  0 849040 147136 126060 849760  528    0   528     0 39141 198249 43 37 19 0 0 0
 6  0 848720 143900 126208 850032  320    0   320     0 48058 200461 43 40 16 0 0 0
 8  0 847596 140152 126472 850172 1124    0  1124     0 44142 186412 47 37 16 0 0 0
 4  0 846808 134992 126684 850464  788    0   864    28 42213 189388 45 38 17 0 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  0 845868 130856 126760 850540  940    0   940     0 29115 224838 35 39 26 0 0 0
 4  0 844704 128888 126916 850712 1164    0  1164     0 33769 202676 40 38 23 0 0 0
 2  0 844060 129156 127060 848956  644    0   764     0 35095 206076 41 38 21 1 0 0
10  0 843952 126656 127140 850592  168    0  1736     0 32106 218901 35 40 25 0 0 0
 2  0 842932 126584 127320 850780 1020    0  1020    28 35322 195355 41 37 22 0 0 0
